code,cap_category
ORCL,large-cap
INCY,small-cap
NVR,medium-cap
REG,small-cap
IT,medium-cap
DECK,medium-cap
UHS,small-cap
EQR,medium-cap
BWA,small-cap
CPT,small-cap
ALL,medium-cap
RCL,large-cap
ORLY,large-cap
JBL,small-cap
EMN,small-cap
CB,large-cap
INTU,large-cap
TSN,small-cap
SBUX,large-cap
DHI,medium-cap
STE,small-cap
BSX,large-cap
MHK,small-cap
SNPS,large-cap
ROP,large-cap
GILD,large-cap
QCOM,large-cap
KIM,small-cap
ODFL,medium-cap
MCHP,medium-cap
SPG,large-cap
MAA,small-cap
ALB,small-cap
FDS,small-cap
IRM,medium-cap
HIG,medium-cap
WAT,small-cap
EL,small-cap
MLSS,small-cap
NTAP,medium-cap
HSIC,small-cap
POOL,small-cap
ERIE,small-cap
DVA,small-cap
EG,small-cap
ACGL,medium-cap
WABC,small-cap
FCX,large-cap
RMD,medium-cap
WAB,medium-cap
DRI,small-cap
COOP,small-cap
COR,medium-cap
DLTR,small-cap
MCK,large-cap
COF,large-cap
O,medium-cap
ESS,small-cap
AVB,medium-cap
CPRT,large-cap
TSCO,medium-cap
MLM,medium-cap
BIIB,small-cap
ANSS,medium-cap
ZBRA,small-cap
AES,small-cap
T,large-cap
WELL,large-cap
VZ,large-cap
COO,small-cap
AOS,small-cap
KEY,small-cap
D,medium-cap
PSA,large-cap
PGR,large-cap
NSC,medium-cap
CI,large-cap
BRO,medium-cap
WST,small-cap
USB,large-cap
GL,small-cap
TMO,large-cap
AON,large-cap
PAYX,medium-cap
LOW,large-cap
AMD,large-cap
PAR,small-cap
ADI,large-cap
FDX,large-cap
PCAR,large-cap
PNC,large-cap
SNA,small-cap
MDT,large-cap
TRV,medium-cap
CSX,large-cap
HD,large-cap
WDC,medium-cap
AIG,medium-cap
IDXX,medium-cap
REGN,large-cap
AZO,medium-cap
TRMB,small-cap
PARA,small-cap
TYL,medium-cap
HOLX,small-cap
CTRA,small-cap
CSCO,large-cap
PTC,medium-cap
EA,medium-cap
EOG,large-cap
VTR,medium-cap
TECH,small-cap
GEN,small-cap
IEX,small-cap
ADBE,large-cap
SCHW,large-cap
CCL,medium-cap
BKR,medium-cap
SYK,large-cap
STT,medium-cap
TFC,large-cap
ECL,large-cap
C,large-cap
STZ,medium-cap
RJF,medium-cap
MS,large-cap
DOC,small-cap
VRTX,large-cap
BAC,large-cap
STLD,small-cap
ROK,medium-cap
DXCM,medium-cap
NDAQ,medium-cap
CE,small-cap
LVS,medium-cap
MPWR,medium-cap
MKTX,small-cap
MOS,small-cap
DLR,large-cap
GOOGL,large-cap
EXR,medium-cap
DPZ,small-cap
CRM,large-cap
BLDR,small-cap
CBRE,medium-cap
AIZ,small-cap
LKQ,small-cap
MOH,small-cap
STX,small-cap
CME,large-cap
EQIX,large-cap
WYNN,small-cap
CMCSA,large-cap
KMX,small-cap
NFLX,large-cap
CNC,medium-cap
PRU,medium-cap
NRG,small-cap
EXPE,small-cap
CF,small-cap
AMP,medium-cap
GNRC,small-cap
FTNT,large-cap
DG,small-cap
VRSK,medium-cap
AVGO,large-cap
UNH,large-cap
AWK,medium-cap
V,large-cap
PM,large-cap
MSCI,medium-cap
ULTA,small-cap
LULU,medium-cap
TEL,medium-cap
DFS,medium-cap
BX,large-cap
PODD,small-cap
TMUS,large-cap
DAL,medium-cap
SMCI,medium-cap
BR,medium-cap
FSLR,small-cap
ROST,medium-cap
LDOS,small-cap
MA,large-cap
TDG,large-cap
UAL,medium-cap
CMG,large-cap
LYV,medium-cap
ICE,large-cap
WW,small-cap
DGX,small-cap
PFG,small-cap
BKNG,large-cap
NVDA,large-cap
EBAY,medium-cap
CCI,medium-cap
CSGP,medium-cap
RSG,large-cap
CTSH,medium-cap
SRE,medium-cap
AMT,large-cap
BBY,small-cap
MAR,large-cap
PWR,medium-cap
VRSN,small-cap
GS,large-cap
URI,medium-cap
MTD,medium-cap
PLD,large-cap
CHRW,small-cap
YUM,medium-cap
VLO,medium-cap
AME,medium-cap
RL,small-cap
BXP,small-cap
AMZN,large-cap
APH,large-cap
ARE,small-cap
TTWO,medium-cap
CMT,small-cap
ADSK,large-cap
FFIV,small-cap
JNPR,small-cap
SBAC,medium-cap
BG,small-cap
ACN,large-cap
ZBH,small-cap
AXON,medium-cap
WTW,medium-cap
MDLZ,large-cap
FIS,medium-cap
GPN,medium-cap
ALGN,small-cap
GRMN,medium-cap
JKHY,small-cap
TPR,small-cap
SPYV,medium-cap
ISRG,large-cap
CRL,small-cap
ON,medium-cap
MNST,medium-cap
MET,medium-cap
EXPD,small-cap
EW,medium-cap
PKG,small-cap
UPS,large-cap
TDY,small-cap
A,medium-cap
AKAM,small-cap
BLK,large-cap
DVN,small-cap
COST,large-cap
LII,small-cap
ELV,large-cap
CBOE,small-cap
INTC,large-cap
TAP,small-cap
WRB,medium-cap
DAY,small-cap
SPGI,large-cap
VICI,medium-cap
GIS,medium-cap
CVS,large-cap
DD,medium-cap
VST,medium-cap
IR,medium-cap
KR,medium-cap
HSY,medium-cap
INVH,small-cap
LW,small-cap
KMB,medium-cap
FTV,medium-cap
EIX,medium-cap
HPE,medium-cap
TXN,large-cap
PYPL,large-cap
KHC,medium-cap
GDDY,medium-cap
VMC,medium-cap
KEYS,medium-cap
CFG,small-cap
CZR,small-cap
SYF,medium-cap
ANET,large-cap
AMAT,large-cap
MTCH,small-cap
RTX,large-cap
KDP,medium-cap
LIN,large-cap
NEM,medium-cap
LMT,large-cap
ABT,large-cap
TPL,medium-cap
ABNB,large-cap
VTRS,small-cap
PLTR,large-cap
IVZ,small-cap
BA,large-cap
WBA,small-cap
BMY,large-cap
DE,large-cap
OTIS,medium-cap
CARR,large-cap
FMC,small-cap
CL,large-cap
CRWD,large-cap
AMCR,small-cap
CTVA,medium-cap
UBER,large-cap
CAT,large-cap
DOW,medium-cap
FOX,small-cap
FOXA,small-cap
SO,large-cap
MRNA,small-cap
DELL,medium-cap
AMR,small-cap
PG,large-cap
AAPL,large-cap
CAH,medium-cap
PAYC,small-cap
CVX,large-cap
IBM,large-cap
TRGP,medium-cap
CPAY,medium-cap
TT,large-cap
GM,medium-cap
LYB,medium-cap
CHTR,medium-cap
NXPI,medium-cap
LH,small-cap
GE,large-cap
GD,large-cap
KKR,large-cap
WM,large-cap
KMI,large-cap
MGM,small-cap
ETN,large-cap
DTE,medium-cap
FAST,medium-cap
FICO,medium-cap
ED,medium-cap
CDNS,large-cap
KO,large-cap
CAL,small-cap
FI,large-cap
ADM,medium-cap
HON,large-cap
TROW,medium-cap
MSFT,large-cap
XOM,large-cap
ITT,small-cap
APO,large-cap
HCA,large-cap
HLT,large-cap
ALLE,small-cap
SLB,large-cap
XPRO,small-cap
AMGN,large-cap
